"","Macro_averaged_metrics"
"Specificity",0.994938234549518
"Pos.Pred.Value",0.875812332508761
"Neg.Pred.Value",0.994960928706744
"Precision",0.875812332508761
"Recall",0.846173469387755
"F1",0.850375847697276
"Prevalence",0.0357142857142857
"Detection.Rate",0.0308362369337979
"Detection.Prevalence",0.0357142857142857
"Balanced.Accuracy",0.920555851968637
