"","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy"
"Class: H_cusickii",0.833333333333333,1,1,0.977777777777778,1,0.833333333333333,0.909090909090909,0.12,0.1,0.1,0.916666666666667
"Class: H_divaricatus",1,1,1,1,1,1,1,0.06,0.06,0.06,1
"Class: H_giganteus",0.857142857142857,0.953488372093023,0.75,0.976190476190476,0.75,0.857142857142857,0.8,0.14,0.12,0.16,0.90531561461794
"Class: H_grosseserratus",0.714285714285714,1,1,0.955555555555555,1,0.714285714285714,0.833333333333333,0.14,0.1,0.1,0.857142857142857
"Class: H_maximiliani",0.857142857142857,0.976744186046512,0.857142857142857,0.976744186046512,0.857142857142857,0.857142857142857,0.857142857142857,0.14,0.12,0.14,0.916943521594684
"Class: H_microcephalus",0.888888888888889,0.951219512195122,0.8,0.975,0.8,0.888888888888889,0.842105263157895,0.18,0.16,0.2,0.920054200542005
"Class: H_salicifolius",1,1,1,1,1,1,1,0.14,0.14,0.14,1
"Class: H_verticillatus",1,0.978260869565217,0.8,1,0.8,1,0.888888888888889,0.08,0.08,0.1,0.989130434782609
