"","Macro_averaged_metrics"
"Specificity",0.99116568914956
"Pos.Pred.Value",0.960416666666667
"Neg.Pred.Value",0.992277644230769
"Precision",0.960416666666667
"Recall",0.925595238095238
"F1",0.933568443051202
"Prevalence",0.125
"Detection.Rate",0.117753623188406
"Detection.Prevalence",0.125
"Balanced.Accuracy",0.958380463622399
