"","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy"
"Class: H_agrestis",1,0.98989898989899,0.777777777777779,1,0.777777777777778,1,0.875,0.0341463414634146,0.0341463414634146,0.0439024390243902,0.994949494949495
"Class: H_angustifolius",1,1,1,1,1,1,1,0.0341463414634146,0.0341463414634146,0.0341463414634146,1
"Class: H_annuus",1,0.994764397905759,0.933333333333334,1,0.933333333333333,1,0.96551724137931,0.0682926829268293,0.0682926829268293,0.0731707317073171,0.99738219895288
"Class: H_argophyllus",1,1,1,1,1,1,1,0.0341463414634146,0.0341463414634146,0.0341463414634146,1
"Class: H_atrorubens",1,0.994949494949495,0.874999999999999,1,0.875,1,0.933333333333333,0.0341463414634146,0.0341463414634146,0.0390243902439024,0.997474747474747
"Class: H_carnosus",1,1,1,1,1,1,1,0.0341463414634146,0.0341463414634146,0.0341463414634146,1
"Class: H_cusickii",0.666666666666667,0.979899497487437,0.5,0.989847715736041,0.5,0.666666666666667,0.571428571428572,0.0292682926829268,0.0195121951219512,0.0390243902439024,0.823283082077052
"Class: H_debili_ssp_tardiflorus",1,1,1,1,1,1,1,0.0341463414634146,0.0341463414634146,0.0341463414634146,1
"Class: H_divaricatus",0.666666666666667,1,1,0.995073891625616,1,0.666666666666667,0.8,0.0146341463414634,0.00975609756097561,0.00975609756097561,0.833333333333333
"Class: H_floridanus",0.714285714285714,0.98989898989899,0.714285714285715,0.98989898989899,0.714285714285714,0.714285714285714,0.714285714285714,0.0341463414634146,0.024390243902439,0.0341463414634146,0.852092352092352
"Class: H_giganteus",1,0.994949494949495,0.874999999999999,1,0.875,1,0.933333333333333,0.0341463414634146,0.0341463414634146,0.0390243902439024,0.997474747474747
"Class: H_grosseserratus",0.714285714285714,0.98989898989899,0.714285714285715,0.98989898989899,0.714285714285714,0.714285714285714,0.714285714285714,0.0341463414634146,0.024390243902439,0.0341463414634146,0.852092352092352
"Class: H_heterophyllus",0.666666666666667,0.994974874371859,0.799999999999999,0.99,0.8,0.666666666666667,0.727272727272727,0.0292682926829268,0.0195121951219512,0.024390243902439,0.830820770519263
"Class: H_longifolius",1,1,1,1,1,1,1,0.0341463414634146,0.0341463414634146,0.0341463414634146,1
"Class: H_maximiliani",0.714285714285714,0.98989898989899,0.714285714285715,0.98989898989899,0.714285714285714,0.714285714285714,0.714285714285714,0.0341463414634146,0.024390243902439,0.0341463414634146,0.852092352092352
"Class: H_microcephalus",0.888888888888889,1,1,0.99492385786802,1,0.888888888888889,0.941176470588235,0.0439024390243902,0.0390243902439024,0.0390243902439024,0.944444444444444
"Class: H_mollis",0.833333333333333,1,1,0.995,1,0.833333333333333,0.909090909090909,0.0292682926829268,0.024390243902439,0.024390243902439,0.916666666666667
"Class: H_neglectus",0.666666666666667,1,1,0.990049751243781,1,0.666666666666667,0.8,0.0292682926829268,0.0195121951219512,0.0195121951219512,0.833333333333333
"Class: H_niveu_ssp_tephrodes",1,1,1,1,1,1,1,0.0292682926829268,0.0292682926829268,0.0292682926829268,1
"Class: H_occidentali_ssp_occidentalis",0.6,0.99,0.6,0.99,0.6,0.6,0.6,0.024390243902439,0.0146341463414634,0.024390243902439,0.795
"Class: H_petiolari_ssp_petiolaris",0.857142857142857,0.994949494949495,0.857142857142856,0.994949494949495,0.857142857142857,0.857142857142857,0.857142857142857,0.0341463414634146,0.0292682926829268,0.0341463414634146,0.926046176046176
"Class: H_porteri",1,1,1,1,1,1,1,0.0341463414634146,0.0341463414634146,0.0341463414634146,1
"Class: H_praeco_ssp_runyonii",1,0.994949494949495,0.874999999999999,1,0.875,1,0.933333333333333,0.0341463414634146,0.0341463414634146,0.0390243902439024,0.997474747474747
"Class: H_radula",1,1,1,1,1,1,1,0.0682926829268293,0.0682926829268293,0.0682926829268293,1
"Class: H_salicifolius",0.857142857142857,1,1,0.994974874371859,1,0.857142857142857,0.923076923076923,0.0341463414634146,0.0292682926829268,0.0292682926829268,0.928571428571429
"Class: H_silphioides",0.857142857142857,0.989528795811518,0.857142857142857,0.989528795811518,0.857142857142857,0.857142857142857,0.857142857142857,0.0682926829268293,0.0585365853658537,0.0682926829268293,0.923335826477188
"Class: H_verticillatus",0.75,1,1,0.995049504950495,1,0.75,0.857142857142857,0.0195121951219512,0.0146341463414634,0.0146341463414634,0.875
"Class: P_tenuifolius",1,1,1,1,1,1,1,0.0341463414634146,0.0341463414634146,0.0341463414634146,1
