"","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy"
"Class: H_angustifolius",1,0.983870967741935,0.875,1,0.875,1,0.933333333333333,0.101449275362319,0.101449275362319,0.115942028985507,0.991935483870968
"Class: H_atrorubens",0.571428571428571,1,1,0.953846153846154,1,0.571428571428571,0.727272727272727,0.101449275362319,0.0579710144927536,0.0579710144927536,0.785714285714286
"Class: H_carnosus",1,1,1,1,1,1,1,0.101449275362319,0.101449275362319,0.101449275362319,1
"Class: H_floridanus",1,1,1,1,1,1,1,0.101449275362319,0.101449275362319,0.101449275362319,1
"Class: H_heterophyllus",0.833333333333333,1,1,0.984375,1,0.833333333333333,0.909090909090909,0.0869565217391304,0.072463768115942,0.072463768115942,0.916666666666667
"Class: H_longifolius",1,1,1,1,1,1,1,0.101449275362319,0.101449275362319,0.101449275362319,1
"Class: H_radula",1,0.981818181818182,0.933333333333333,1,0.933333333333333,1,0.96551724137931,0.202898550724638,0.202898550724638,0.217391304347826,0.990909090909091
"Class: H_silphioides",1,0.963636363636364,0.875,1,0.875,1,0.933333333333333,0.202898550724638,0.202898550724638,0.231884057971014,0.981818181818182
