"","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy"
"Class: H_annuus",1,0.975,0.933333333333333,1,0.933333333333333,1,0.96551724137931,0.259259259259259,0.259259259259259,0.277777777777778,0.9875
"Class: H_argophyllus",1,0.978723404255319,0.875,1,0.875,1,0.933333333333333,0.12962962962963,0.12962962962963,0.148148148148148,0.98936170212766
"Class: H_debili_ssp_tardiflorus",1,1,1,1,1,1,1,0.12962962962963,0.12962962962963,0.12962962962963,1
"Class: H_neglectus",0.833333333333333,0.979166666666667,0.833333333333333,0.979166666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.111111111111111,0.0925925925925926,0.111111111111111,0.90625
"Class: H_niveu_ssp_tephrodes",0.666666666666667,1,1,0.96,1,0.666666666666667,0.8,0.111111111111111,0.0740740740740741,0.0740740740740741,0.833333333333333
"Class: H_petiolari_ssp_petiolaris",0.714285714285714,0.978723404255319,0.833333333333333,0.958333333333333,0.833333333333333,0.714285714285714,0.769230769230769,0.12962962962963,0.0925925925925926,0.111111111111111,0.846504559270517
"Class: H_praeco_ssp_runyonii",1,0.978723404255319,0.875,1,0.875,1,0.933333333333333,0.12962962962963,0.12962962962963,0.148148148148148,0.98936170212766
