"","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy"
"Class: H_annuus",0.928571428571429,0.975,0.928571428571429,0.975,0.928571428571429,0.928571428571429,0.928571428571429,0.259259259259259,0.240740740740741,0.259259259259259,0.951785714285714
"Class: H_argophyllus",0.857142857142857,1,1,0.979166666666667,1,0.857142857142857,0.923076923076923,0.12962962962963,0.111111111111111,0.111111111111111,0.928571428571429
"Class: H_debili_ssp_tardiflorus",0.857142857142857,0.978723404255319,0.857142857142857,0.978723404255319,0.857142857142857,0.857142857142857,0.857142857142857,0.12962962962963,0.111111111111111,0.12962962962963,0.917933130699088
"Class: H_neglectus",0.666666666666667,0.979166666666667,0.8,0.959183673469388,0.8,0.666666666666667,0.727272727272727,0.111111111111111,0.0740740740740741,0.0925925925925926,0.822916666666667
"Class: H_niveu_ssp_tephrodes",1,0.979166666666667,0.857142857142857,1,0.857142857142857,1,0.923076923076923,0.111111111111111,0.111111111111111,0.12962962962963,0.989583333333333
"Class: H_petiolari_ssp_petiolaris",0.714285714285714,0.957446808510638,0.714285714285714,0.957446808510638,0.714285714285714,0.714285714285714,0.714285714285714,0.12962962962963,0.0925925925925926,0.12962962962963,0.835866261398176
"Class: H_praeco_ssp_runyonii",0.857142857142857,0.957446808510638,0.75,0.978260869565217,0.75,0.857142857142857,0.8,0.12962962962963,0.111111111111111,0.148148148148148,0.907294832826748
