Species,SPAD,L_Aarea,L_Amass,L_Con,L_Ci,L_iWUE,L_NightRespArea,L_NightRespmass,LA,L_Peri,L_Circ,LS,LMA,L_FreshMass,L_DryMass,LWC,LDMC,L_MidribT,L_LaminaT,L_Tough,L_life,LN,LD15N,LPNUE,LC,LD13C,LCN,LP,Leaf_N_P,L_VeinD,L_T_activity,LTD,L_LipidC,L_AshC,WPTB,WPBMF,WPSMF,WPLMF,WPRMF,WPFB,WPFF,FPFM,FDFM,FRFM,FTFM,FPDM,FDDM,FRDM,FTDM,FPWC,FDWC,FRWC,FTWC,P_D,P_T,D_T,R_T,FRL,FRW,FDD,FDC,FTD,FTC,FTA,FDA,FPA,FRN,FPD,FAIR,FPAF,FDAF
H_agrestis,33.9,31.56385301,688.9024189,2.071189479,353.8502628,15.23948114,-0.788610934,-17.21196647,32.302,36.211,0.31,0.915,45.81759643,1.0155,0.148,5.861486486,0.145741014,0.96,0.32,144.3006036,86.5,2.95,2.36,23352.62437,40.44,-31.05,13.70847458,0.268,11.00746269,7.462134463,0.574033572,48,3.118908382,17.16566866,175.6135,0.042755825,0.754013786,0.13996646,0.063263929,248,275,0.3173,0.31725,0.10415,0.7387,0.04155,0.07865,0.01655,0.13675,6.636582431,3.033693579,5.29305136,4.401828154,0.528289892,0.303839122,0.575137112,0.121023766,3,1,1.15,3.612831552,7.15,22.46238747,40.15151761,1.038689071,39.11282854,13,3.59828567,37.65595463,0.974130764,0.025869236
H_agrestis,31.8,34.30068287,795.4589063,1.384534468,335.2076745,24.77416319,-1.115995485,-25.88078353,46.683,38.956,0.387,0.94,43.12062207,1.5365,0.2013,6.632886239,0.13101204,1.42,0.33,174.0095514,87.5,3.57,1.9,22281.76208,41.82,-31.03,11.71428571,0.303530721,12.53762481,7.498199152,2.825551758,83,4.038004751,17.92313026,149.7492,0.049143501,0.725479669,0.159333072,0.066043758,248,282,0.2527,0.25395,0.06745,0.5741,0.03805,0.06095,0.01215,0.11115,5.641261498,3.166529943,4.551440329,4.165092218,0.624282199,0.342330184,0.548358075,0.109311741,2.6,1.15,1.25,3.926990817,6.45,20.26327262,32.67452709,1.22718463,31.44734246,10,2.546479089,25.6256,0.962442161,0.037557839
H_agrestis,31.6,30.18509273,669.6957976,1.433081504,344.0389333,21.06306769,-1.443324493,-32.02204334,31.438,31.533,0.397,0.942,45.07284178,1.0246,0.1417,6.230769231,0.138297872,0.89,0.36,152.7888744,78,3,1.67,22323.19325,40.92,-30.77,13.64,0.2591,11.5785411,7.047965032,1.550557409,38,2.380952381,17.32580038,131.3662,0.029488559,0.756130572,0.146022341,0.068358528,243,275,0.285336113,0.402693576,0.156024825,0.844054514,0.042123068,0.085961798,0.026670874,0.15575372,5.781694263,3.692927192,4.942764467,4.448317587,0.516767546,0.27856902,0.551808145,0.169622834,2.708262366,1.006121435,1.319463645,4.145217293,6.735988377,21.1617316,36.44619836,1.409588148,35.03661021,12.8117892,3.139246149,26.37342011,0.959719496,0.040280503
H_agrestis,29.7,31.24320286,753.5026253,1.443355345,341.3182659,21.64623075,-1.745985733,-42.10851364,35.766,36.2,0.343,0.91,41.46396019,1.1342,0.1483,6.648010789,0.130752954,1.15,0.3,159.1550775,90,3.53,1.55,21345.68344,42.63,-30.78,12.07648725,0.4755,7.423764458,5.922624517,0.885286824,86,2.579365079,12.7340824,131.5639,0.042250192,0.762139158,0.126035333,0.069575317,248,275,0.26255,0.32885,0.1312,0.7226,0.0427,0.07275,0.02335,0.1388,5.148711944,3.520274914,4.618843683,4.206051873,0.586941581,0.307636888,0.524135447,0.168227666,2.5,1.25,1.25,3.926990817,6.25,19.63495408,30.67961576,1.22718463,29.45243113,9.5,2.419155135,24,0.96,0.04
H_agrestis,31.6,22.68386716,489.4836077,1.999117173,362.8285778,11.34694227,-1.104792773,-25.15923736,32.303,33.188,0.369,0.951,46.34244497,0.9636,0.1497,5.436873747,0.155354919,1.09,0.33,176.1316191,96,3.05,1.89,16048.64288,42.06,-31.07,13.79016393,0.2577,11.8354676,7.105157033,0.828741009,47,4.612159329,16.89059501,182.7604,0.040820659,0.739875816,0.151400413,0.067903112,246,275,0.27985,0.3244,0.13665,0.7409,0.04795,0.0769,0.03515,0.16,4.8362878,3.21846554,2.887624467,3.630625,0.623537061,0.2996875,0.480625,0.2196875,2.3,1.15,1.25,3.926990817,5.85,18.37831702,26.87828865,1.22718463,25.65110402,14,3.565070725,20.9024,0.954342903,0.045657097
H_agrestis,38.6,15.92627154,364.0611086,1.974757461,370.898007,8.064925369,-1.105875102,-24.97362104,50.313,39.036,0.415,0.928,43.74614911,1.7279,0.2201,6.85052249,0.127380057,1.68,0.33,159.1550775,77,3.91,0.4,9311.025796,42.95,-30.71,10.98465473,0.2807,13.92946206,6.804486762,1.117923961,49,5.046728972,13.45381526,134.6975,0.020488873,0.781380501,0.143227603,0.054903023,248,282,0.40325,0.4996,0.1639,1.06675,0.0514,0.1099,0.0278,0.1891,6.845330739,3.545950864,4.895683453,4.641195135,0.467697907,0.271813855,0.581173982,0.147012163,3.05,1.2,1.45,4.555309348,7.55,23.71902453,44.76965881,1.651299639,43.11835917,13,2.853812773,26.1117717,0.963115653,0.036884347
H_agrestis,36.3,27.26981423,734.9401715,1.817390423,353.724649,15.00492899,-1.072945971,-24.42858314,59.022,43.349,0.395,0.958,37.10480838,1.819,0.219,7.305936073,0.120395822,1,0.31,150.6668067,90,3.71,0.94,19809.70813,40.63,-31.29,10.95148248,0.2411,15.38780589,6.215903865,0.237970509,27,4.255319149,19.96466431,172.9663,0.064326403,0.769282802,0.117768606,0.048622188,248,282,0.34025,0.76775,0.31865,1.42665,0.043,0.0929,0.02645,0.16235,6.912790698,7.264262648,11.04725898,7.78749615,0.462863294,0.264859871,0.572220511,0.162919618,2.85,1.55,1.5,4.71238898,7.2,22.61946711,40.71504079,1.767145868,38.94789492,12.5,2.652582385,22.04,0.956597222,0.043402778
H_angustifolius,33.5,30.37334144,578.0587418,0.971557405,340.9286383,31.26252888,-1.155329457,-21.98797566,8.983,41.616,0.065,0.859,52.54369364,0.3978,0.0472,7.427966102,0.118652589,1.12,0.22,106.103385,148.5,3.41,1.18,16951.86926,41.86,-31.33,12.27565982,0.4298,7.933922755,7.049872581,2.807663062,85,5.529953917,10.73446328,138.4601,0.208178385,0.586545149,0.151200237,0.054076228,233,284,0.18615,0.37345,0.10885,0.66845,0.0261,0.05415,0.01825,0.0985,6.132183908,5.896583564,4.964383562,5.786294416,0.48199446,0.264974619,0.549746193,0.185279188,2.25,0.6,1.3,4.08407045,5.8,18.22123739,26.42079422,1.327322896,25.09347132,15.5,3.795233258,18.90532544,0.949762188,0.050237812
H_angustifolius,45,36.52823907,693.5609917,1.602412592,341.7302993,22.79577636,-1.649754834,-31.32386415,23.335,53.896,0.101,0.627,52.6676666,0.9635,0.1229,6.839707079,0.127555786,1.34,0.28,137.9344005,141.9610381,3.35,0.93,20703.31318,37.22,-30.54,11.11044776,0.3482,9.620907524,10.38426807,1.862487705,95,3.432494279,16.04395604,189.5239,0.2076498,0.561422069,0.174985846,0.055942285,241,282,0.403,0.4564,0.1104,0.9698,0.0488,0.09595,0.0206,0.16535,7.258196721,3.756644085,4.359223301,4.865134563,0.508598228,0.295131539,0.580284246,0.124584215,3.95,0.85,1.55,4.869468613,9.45,29.68805058,70.13801949,1.886919088,68.2511004,15,3.080418253,36.17065557,0.973097058,0.026902942
H_angustifolius,33.8,28.22046454,668.0652278,0.842605582,309.4520732,33.49190312,-0.997312978,-23.60946684,16.003,51.424,0.076,0.514,42.24207961,0.6746,0.0676,8.979289941,0.10020753,1.15,0.75,120.9578589,165.5,4.44,-0.86,15046.51414,40.33,-30.33,9.083333333,0.4039,10.99282,6.265381495,2.521837459,50,4.504504505,14.37308869,208.2868,0.249707615,0.558976373,0.154201322,0.03711469,239,279,0.277743874,0.438815313,0.185175898,0.901735085,0.040701474,0.093253292,0.033332688,0.167633306,5.86033028,3.717511459,4.470390824,4.361153199,0.457821506,0.24637742,0.560527049,0.193095529,2.772863259,0.773979838,1.338691429,4.205623159,6.884417946,21.62803684,38.51103924,1.461081328,37.04995791,14.67064356,3.609229222,28.03538865,0.958718752,0.041281247
