"","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy"
"Class: H_cusickii",1,1,1,1,1,1,1,0.12,0.12,0.12,1
"Class: H_divaricatus",1,1,1,1,1,1,1,0.06,0.06,0.06,1
"Class: H_giganteus",1,0.906976744186046,0.636363636363636,1,0.636363636363636,1,0.777777777777778,0.14,0.14,0.22,0.953488372093023
"Class: H_grosseserratus",0.857142857142857,1,1,0.977272727272727,1,0.857142857142857,0.923076923076923,0.14,0.12,0.12,0.928571428571429
"Class: H_maximiliani",0.714285714285714,1,1,0.955555555555555,1,0.714285714285714,0.833333333333333,0.14,0.1,0.1,0.857142857142857
"Class: H_microcephalus",0.888888888888889,1,1,0.976190476190476,1,0.888888888888889,0.941176470588235,0.18,0.16,0.16,0.944444444444444
"Class: H_salicifolius",1,1,1,1,1,1,1,0.14,0.14,0.14,1
"Class: H_verticillatus",1,1,1,1,1,1,1,0.08,0.08,0.08,1
