"","Macro_averaged_metrics"
"Specificity",0.989181562165433
"Pos.Pred.Value",0.941482843137255
"Neg.Pred.Value",0.990203373015873
"Precision",0.941482843137255
"Recall",0.907738095238095
"F1",0.917069892473118
"Prevalence",0.125
"Detection.Rate",0.115942028985507
"Detection.Prevalence",0.125
"Balanced.Accuracy",0.948459828701764
