"Traits","Population","Species","Residuals"
"LTD",0,86.855440423731,13.144559576269
"L_Circ",1.76449281331957,85.1307178443265,13.104789342354
"FPAF",0,81.5543604872612,18.4456395127388
"FDAF",0,81.5543599359514,18.4456400640486
"FDD",3.36240377251641,77.4057867426374,19.2318094848461
"FDC",3.36240377271771,77.4057867425343,19.231809484748
"LWC",2.6275540224962,75.2828271777031,22.0896187998008
"FTFM",8.89370651150669,74.7816178966504,16.3246755918429
"FPFM",6.92786967217635,74.5074542635077,18.5646760643159
"WPFF",11.2361702011367,72.8624865752588,15.9013432236045
"FDFM",9.10811284345341,72.3961031930543,18.4957839634923
"FDA",5.12473213133338,72.2288067544387,22.646461114228
"WPFB",13.449687361562,71.9477625886322,14.6025500498058
"FTDM",10.2097386808732,71.934193756376,17.8560675627508
"FPDM",7.84254310508557,71.4331246815814,20.724332213333
"FRFM",8.30885865398876,70.585843332529,21.1052980134823
"FRW",4.42033811859507,69.5548816244863,26.0247802569186
"FDDM",10.5045699023407,68.8977584953514,20.5976716023079
"L_Aarea",0,67.1153484839106,32.8846515160894
"FRDM",9.55112283093024,66.7712207868426,23.6776563822271
"LDMC",2.66829662081576,65.409261678682,31.9224417005023
"FTD",7.38939959985317,64.0228873390395,28.5877130611074
"FTC",7.38939960073221,64.0228873329073,28.5877130663605
"WPSMF",5.06170936023747,63.529130886504,31.4091597532585
"L_LaminaT",7.3763828873076,62.8346480177288,29.7889690949636
"FRN",4.39673216524233,62.5385727997753,33.0646950349824
"L_Con",0.00000010118784068165,61.9399099659152,38.060089932897
"FPD",1.09538845841686,60.8564553404951,38.048156201088
"LD13C",5.21093062356287,60.8043830785121,33.984686297925
"L_Tough",2.80929463407105,60.4432078322023,36.7474975337266
"L_life",5.10686159587582,59.7570698001961,35.1360686039281
"FTA",9.53512080717885,59.6269955977112,30.83788359511
"FRL",7.08856195771267,59.6208191645844,33.2906188777029
"WPBMF",6.39572901958836,59.4461888659442,34.1580821144675
"WPRMF",14.4429701661423,59.1309123101282,26.4261175237295
"WPLMF",2.37249677012888,59.0549967961125,38.5725064337586
"L_NightRespArea",2.49856931425641,58.3568410778715,39.1445896078721
"LA",9.48945100364755,58.0877769821118,32.4227720142407
"LS",7.08367405170344,58.0795246604864,34.8368012878102
"FPA",9.67538132442805,57.8897119589352,32.4349067166368
"L_Amass",1.02959577542543,57.629682669578,41.3407215549966
"L_T_activity",7.7080543786015,56.9746113177021,35.3173343036964
"P_T",5.25312108347297,55.1425923840955,39.6042865324315
"LN",6.1692495509584,55.0560933412968,38.7746571077448
"L_FreshMass",9.69566475367088,54.8189991538943,35.4853360924349
"L_MidribT",9.43716942639762,54.7511595717597,35.8116710018427
"L_DryMass",11.5266471975619,52.5928936323379,35.8804591701003
"LCN",3.29874945488727,51.4237271505533,45.2775233945594
"L_Peri",17.9142847589482,51.3347642163368,30.750951024715
"FAIR",5.10552033335536,50.9200277648482,43.9744519017964
"LMA",6.41795772267619,50.4457783653901,43.1362639119337
"WPTB",16.3524619663792,50.2900590727212,33.3574789608996
"L_NightRespmass",0.586458082310474,48.283651924986,51.1298899927035
"LD15N",8.3228152893929,47.8233792098828,43.8538055007243
"L_LipidC",11.464557377532,47.0367043125764,41.4987383098915
"P_D",6.8736452923651,43.0432300197294,50.0831246879055
"LC",7.50372949008676,40.1853035178033,52.3109669921099
"FTWC",3.20833082795718,35.1654314122572,61.6262377597857
"L_AshC",9.51359036141526,34.2536062050987,56.232803433486
"R_T",2.04837820323777,33.1876736914435,64.7639481053187
"FRWC",4.3561878268166,31.1648718806737,64.4789402925097
"D_T",6.22280411511727,30.8200210617667,62.957174823116
"L_iWUE",5.32077885356005,27.7550811671605,66.9241399792794
"L_Ci",6.45828191743845,27.1047048280973,66.4370132544642
"LP",10.3552972545208,24.2915291724691,65.3531735730101
"FPWC",2.58747623572703,23.0305324894378,74.3819912748351
"FDWC",0,17.0484193417133,82.9515806582867
"Leaf_N_P",6.66950756993947,12.7709250173094,80.5595674127511
"LPNUE",7.49825106544207,11.3682203893302,81.1335285452278
"L_VeinD",20.6600416267362,0.727653477839669,78.6123048954241
