"","Macro_averaged_metrics"
"Specificity",0.985455447842005
"Pos.Pred.Value",0.917559523809524
"Neg.Pred.Value",0.986147463939244
"Precision",0.917559523809524
"Recall",0.873511904761905
"F1",0.886003470213997
"Prevalence",0.125
"Detection.Rate",0.1125
"Detection.Prevalence",0.125
"Balanced.Accuracy",0.929483676301955
