"Traits","Population","Species","Residuals"
"L_Circ",7.23437653880484,77.5218401734786,15.2437832877166
"LD13C",16.2872494602352,65.6332970779703,18.0794534617945
"WPFF",14.9462491465701,64.5729545765945,20.4807962768354
"L_Tough",5.68341293189125,64.5645225491161,29.7520645189927
"WPFB",14.5230743965447,63.9931808693746,21.4837447340807
"LS",1.15311824277236,63.3705680250222,35.4763137322054
"L_Aarea",1.81085685935116,60.0575997385733,38.1315434020756
"LA",10.535069530665,58.6885759076957,30.7763545616392
"FPD",3.69223093680472,57.5872537238045,38.7205153393908
"FRN",11.4231494799467,54.5079098362756,34.0689406837777
"WPSMF",17.1789456382281,53.5845837684168,29.2364705933551
"L_LaminaT",1.29790453878614,53.3800895670142,45.3220058941996
"L_FreshMass",9.11524528072207,51.578440310706,39.3063144085719
"L_MidribT",9.84155399541612,51.0209217338445,39.1375242707394
"WPBMF",10.9048040028897,50.1566535149941,38.9385424821162
"L_DryMass",10.6735796325946,49.2522688468837,40.0741515205217
"FDD",0.536447541579093,49.1624404329723,50.3011120254486
"FDC",0.536447541791467,49.1624404302432,50.3011120279653
"L_Peri",12.7947760123678,46.9781725432849,40.2270514443473
"L_Con",4.9840412896985,46.968796992305,48.0471617179965
"FPWC",0,45.4519993885841,54.5480006114159
"FTC",6.77830708650074,45.2977503496103,47.923942563889
"FTD",6.77830708681594,45.2977503482563,47.9239425649278
"FAIR",0.834123974948323,45.1343917842376,54.0314842408141
"L_NightRespmass",2.69399463627901,45.0337671546613,52.2722382090597
"FDFM",13.7765828182204,43.8002369018786,42.423180279901
"FTFM",20.1218977358669,43.748785264523,36.1293169996101
"L_NightRespArea",11.3817494120607,42.3791878981846,46.2390626897547
"WPLMF",4.16550009052275,41.7931863887845,54.0413135206927
"FDA",0,41.6382199381254,58.3617800618746
"FTA",10.769409731532,41.4216885230954,47.8089017453725
"FPFM",15.0467264665551,41.2471946765586,43.7060788568862
"FRL",8.88112877190597,40.8009500367655,50.3179211913285
"FPA",11.4160629772678,40.5250245766079,48.0589124461243
"LWC",4.93129781066762,37.880418145204,57.1882840441283
"FTDM",24.2345744927623,37.6489968308664,38.1164286763713
"FRFM",32.1897946128522,36.2842455024807,31.5259598846671
"L_LipidC",22.1662876053593,35.7107072274165,42.1230051672242
"FDDM",16.3881831337017,35.5668771469482,48.0449397193501
"LTD",11.3340736332919,34.7550905836585,53.9108357830496
"L_VeinD",3.2754240383989,34.5582774808573,62.1662984807438
"FPDM",22.1929791805936,34.5339918006666,43.2730290187398
"LMA",6.38374244960668,33.6116120461421,60.0046455042513
"L_life",16.89044620321,32.4824161944637,50.6271376023263
"D_T",1.32375027211184,30.7902997229798,67.8859500049084
"FRDM",31.3426992268878,29.2483095272408,39.4089912458714
"FTWC",0,27.0706190144511,72.9293809855489
"FDAF",6.38296731201821,26.1681414443101,67.4488912436717
"FPAF",6.382968990216,26.1681397315919,67.4488912781921
"R_T",0,24.8598860595417,75.1401139404583
"LC",21.1653709200852,24.5902281352388,54.2444009446759
"LPNUE",7.03944339383819,24.3298878335338,68.630668772628
"WPTB",41.0242087005974,23.1985326181964,35.7772586812063
"LDMC",4.94757356559608,22.578829030818,72.4735974035859
"LD15C",34.1315120963228,21.4369910626908,44.4314968409864
"FRW",9.63020034127066,20.851105809041,69.5186938496883
"FDWC",0,18.2616339528605,81.7383660471395
"P_D",4.25483260202825,17.2265897729192,78.5185776250526
"L_T_activity",3.86676558956193,15.3733172280183,80.7599171824198
"FRWC",2.0967507400799,15.140144505674,82.7631047542461
"Leaf_N_P",0,14.1760409376315,85.8239590623685
"L_AshC",23.4399908869198,13.8888195087737,62.6711896043066
"LP",5.78102959199393,13.0463705429278,81.1725998650783
"L_Amass",0,10.8040854440655,89.1959145559345
"L_Ci",17.0306199692453,10.793902644291,72.1754773864637
"L_iWUE",19.5191473073083,6.92552658970897,73.5553261029827
"LN",15.0121552008626,6.55326386078724,78.4345809383502
"WPRMF",53.2645947780584,5.43256591675466,41.302839305187
"P_T",2.90094515021518,4.08615661089011,93.0128982388947
"LCN",1.55817016814,2.35265920073758,96.0891706311224
