"meanImp","medianImp","minImp","maxImp","normHits","decision","Feature"
22.9108256754846,22.813881802307,21.9313695795988,24.3041499470993,1,"Confirmed","L_Circ"
25.5675161214174,25.7092308709988,23.4258577898899,27.1988069387696,1,"Confirmed","LTD"
18.040253475648,18.2744850648682,16.8029914739951,19.500874582226,1,"Confirmed","WPFF"
21.5324906664961,21.4855206699007,20.5999533283779,22.6169293029165,1,"Confirmed","LA"
18.2015870845137,17.9331849047114,17.2151650394384,19.2831878914658,1,"Confirmed","WPFB"
14.5347105509616,14.2997190208327,13.5878427529356,15.6268227529938,1,"Confirmed","FRFM"
18.7115838306543,18.7923121508385,17.7207684089312,20.3689757023759,1,"Confirmed","L_FreshMass"
19.7606159175194,19.7948053038866,18.2398803614526,21.4582550436399,1,"Confirmed","L_DryMass"
13.21606999119,13.276582661843,12.253703192779,14.0489416652381,1,"Confirmed","FTFM"
12.6540669089405,12.6124204366569,11.7742984879687,14.4534536199862,1,"Confirmed","FDFM"
15.4015060595915,15.3803673683154,14.4602716273003,16.9811605453738,1,"Confirmed","LWC"
15.1732715042166,15.1078004153968,14.5012461204627,16.7891708779868,1,"Confirmed","LDMC"
14.3308971469615,14.4217283329235,13.250315353504,15.0869135651428,1,"Confirmed","FTDM"
16.788394320255,16.8490037758696,15.2247417523827,17.8426400063178,1,"Confirmed","WPBMF"
13.8720759028,13.8252882997752,13.1111475986113,14.802845909177,1,"Confirmed","FDDM"
9.16875107682439,9.17420163878289,8.23530309030229,9.94339265414076,1,"Confirmed","FDA"
16.3602767440009,16.3232930289124,15.4242853818991,17.1954140668059,1,"Confirmed","LD13C"
9.32265398905046,9.24207633905655,8.69309681371513,9.73799148628574,1,"Confirmed","FDC"
16.460689781,16.8277203456201,15.2537686406144,17.4774505928163,1,"Confirmed","L_life"
11.6416378709904,11.5454424684963,11.0923087289448,12.6612171282479,1,"Confirmed","FDAF"
9.09825536853006,8.9872409780298,8.55378138877757,9.62199649109719,1,"Confirmed","FDD"
14.3640403359633,14.3479012240973,13.3846336376828,15.6451258050504,1,"Confirmed","FRDM"
15.8472558417764,15.9473782247133,14.99952067008,16.5798395126124,1,"Confirmed","LS"
13.8281688451482,13.6857965986637,13.2622256264282,14.8993152875989,1,"Confirmed","FRN"
11.4228523849583,11.3698061064707,10.6675701679056,12.4504004014799,1,"Confirmed","FPAF"
16.1849874197076,16.2610404603562,15.1874006376684,17.7487482028936,1,"Confirmed","L_LaminaT"
11.8034206541199,11.7779398798746,11.3332657298181,12.4251739576392,1,"Confirmed","WPRMF"
17.6738658693064,17.4819350239826,16.6742749648733,19.2512138455991,1,"Confirmed","WPSMF"
12.8692542180016,12.739394712859,11.9229954043689,13.6165864043815,1,"Confirmed","L_Tough"
10.9139550472395,10.8323920917149,10.2700917671144,11.9755422392832,1,"Confirmed","FAIR"
12.8405357406649,12.7558368889365,11.6209744708734,13.9194156113922,1,"Confirmed","FPFM"
14.3180506718941,14.1711769321335,13.3741538321604,16.0554141270062,1,"Confirmed","WPTB"
11.2511908141769,11.1354429201185,10.5985979523057,12.3718323179629,1,"Confirmed","FPDM"
16.1897463999149,16.1764797729131,14.7156298921768,17.6910519981426,1,"Confirmed","L_Peri"
12.0039424128113,11.7609237453939,11.1439767491669,13.3142065943612,1,"Confirmed","L_Aarea"
12.2465717325052,12.3234130915792,10.8726580361382,13.7754562086349,1,"Confirmed","FRW"
15.4581711049163,15.4156319679613,13.6921004755905,17.8575303877117,1,"Confirmed","L_LipidC"
11.8240116526749,11.7479540882876,11.2520833355495,12.5519626738226,1,"Confirmed","P_T"
13.6625634063511,13.7201709609964,12.3544535172748,14.4954681492939,1,"Confirmed","L_Con"
9.12699339861654,9.14458009031962,8.42156891157413,10.0439157141971,1,"Confirmed","FRL"
10.1606015308027,10.1988804834841,8.96737000782674,11.3792319628788,1,"Confirmed","FPD"
9.25678412670754,9.22407530108135,8.75327725293073,9.83423357159528,1,"Confirmed","FTD"
9.09572713855361,9.15501710733686,8.34520837338338,9.41087871177304,1,"Confirmed","FTA"
14.9908388656517,15.0220606117411,13.9038542208178,15.6790375857025,1,"Confirmed","SPAD"
9.08456915966763,9.19748510648756,8.50052474783675,9.48484617521914,1,"Confirmed","FPA"
10.4355258232291,10.5921438200112,9.06959179562214,11.5001359087389,1,"Confirmed","P_D"
12.4507411753807,12.3852472689023,11.8097293177669,13.1990167237355,1,"Confirmed","LC"
9.22462186206937,9.1980795813491,8.38530115672227,10.1211343623783,1,"Confirmed","FTC"
12.2368503564805,12.1752362017022,11.1206898965382,13.8333720612767,1,"Confirmed","L_T_activity"
10.096592135064,10.1146864207215,8.30183344652352,11.1165250476471,1,"Confirmed","LN"
9.69978178821519,9.76647823839593,9.06929710719959,10.9678646010619,1,"Confirmed","LCN"
10.3193442376211,10.2122041165039,9.3421757424374,11.2765342856791,1,"Confirmed","FRWC"
11.2635407399888,11.1075360460203,9.49503938429432,13.0263890175353,1,"Confirmed","WPLMF"
