"","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy"
"Class: H_angustifolius",0.857142857142857,1,1,0.984126984126984,1,0.857142857142857,0.923076923076923,0.101449275362319,0.0869565217391304,0.0869565217391304,0.928571428571429
"Class: H_atrorubens",0.857142857142857,0.983870967741935,0.857142857142857,0.983870967741935,0.857142857142857,0.857142857142857,0.857142857142857,0.101449275362319,0.0869565217391304,0.101449275362319,0.920506912442396
"Class: H_carnosus",1,1,1,1,1,1,1,0.101449275362319,0.101449275362319,0.101449275362319,1
"Class: H_floridanus",1,0.967741935483871,0.777777777777778,1,0.777777777777778,1,0.875,0.101449275362319,0.101449275362319,0.130434782608696,0.983870967741935
"Class: H_heterophyllus",0.833333333333333,1,1,0.984375,1,0.833333333333333,0.909090909090909,0.0869565217391304,0.072463768115942,0.072463768115942,0.916666666666667
"Class: H_longifolius",1,1,1,1,1,1,1,0.101449275362319,0.101449275362319,0.101449275362319,1
"Class: H_radula",1,1,1,1,1,1,1,0.202898550724638,0.202898550724638,0.202898550724638,1
"Class: H_silphioides",0.928571428571429,0.981818181818182,0.928571428571428,0.981818181818182,0.928571428571429,0.928571428571429,0.928571428571429,0.202898550724638,0.188405797101449,0.202898550724638,0.955194805194805
